      0.583063623790; 3;10
      0.239207523259; 0;1;8
      0.238894142068; 0;3;4;6;7;9;10
      0.238825738110; 0;1;5;8
      0.238788894164; 3;4;6;9
      0.238757573520; 6;7;10
      0.238670663536; 0;3;4;7;9;10
      0.238085102013; 0;1;3;5;6;9;10
      0.238039978113; 2;3;4;8;10
      0.237982893146; 2;3;5;6;10
      0.237375506895; 3;5;8;9
      0.237239771029; 3;4;6;8;9;10
      0.237232033371; 2;3;7;8;9;10
      0.237097951933; 4;8;9;10
      0.237041839557; 2;6
      0.237021857485; 2;3;4;7;9
      0.236922082943; 1;3;5;7;9;10
      0.236542561216; 1;3;5;9
      0.236007669304; 0;1;6;10
      0.235796273263; 1;5;8
      0.235518019374; 1;3;5;7;9
      0.235507785985; 1;2;9;10
      0.235470491851; 1;3;4;8;9;10
      0.235326656350; 0;1;5;6;10
      0.235268923170; 3;5;7;8;9;10
      0.235210702929; 0;3;5;9;10
      0.235101223516; 2;3;5;9
      0.235081287765; 0;1;3;7;9;10
      0.235069477900; 0;3;4;9;10
      0.234999402053; 0;7;10
      0.234804455120; 2;3;5;7;9
      0.234722965831; 3;4;7;8;9;10
      0.234643988950; 1;2;3;8;10
      0.234628284924; 1;5
      0.234613357926; 1;2;3;7;10
      0.234567039357; 2;5;8
      0.234506830946; 1;3;6;8;9;10
      0.234489937800; 0;1;3;5;7;9
      0.234297462500; 1;3;6;9
      0.234167588878; 0;3;5;7;9
      0.234073973521; 2;3;4;6;7;9
      0.234005780575; 0;5;9;10
      0.233914052398; 3;5;7;8;9
      0.233793677441; 0;1;5;6
      0.233737679714; 0;3;4;5;9;10
      0.233322911926; 1;3;5;8;9
      0.233264942111; 1;3;4;8;10
      0.233262219437; 3;6;8;9
      0.233089901535; 0;2;5
      0.233015618081; 4;6;7;9;10
      0.232938158912; 1;3;4;5;6;10
      0.232852855730; 1;3;4;6;9;10
      0.232786766046; 1;3;4;5;8;10
      0.232716989236; 1;2;3;4;10
      0.232635637116; 2;3;6;9
      0.232548599263; 1;3;4;5;6;7;9
      0.232422583315; 1;3;4;7;9;10
      0.232059486276; 0;1;3;8;9;10
      0.232049494175; 3;4;5;8;9
      0.231885277467; 1;3;6;7;9
      0.231883589707; 2;4;8;9;10
      0.231832731197; 2;3;5;8;10
      0.231801764456; 0;4;5;7;9;10
      0.231801212694; 1;2;3;7;9
      0.231690204157; 1;2;3;4;7;10
      0.231671445990; 0;3;4;6;9;10
      0.231643548876; 1;3;5;8;10
      0.231631688169; 7;8;9;10
      0.231623928606; 3;5;6;9
      0.231497148877; 3;5;6;8;10
      0.231384691377; 0;1;3;8;9
      0.231186248277; 0;3;6;7;9;10
      0.231156183974; 0;6;7;9;10
      0.231112058808; 0;4;5;9;10
      0.231059558649; 0;2;3;7;9
      0.231058965772; 5;7;10
      0.230972803959; 1;2;3;4;5;10
      0.230927473800; 0;1;3;8
      0.230774841179; 2;3;5;8;9;10
      0.230710388095; 1;5;9;10
      0.230705010747; 2;3;5
      0.230686292941; 0;2;3;7;9;10
      0.230422450253; 3;5;6;7;10
      0.230331104296; 1;2;5;8
      0.230248047274; 2;3;8;9
      0.230146910741; 0;2;4;5;9;10
      0.230055325035; 7;8
      0.229853908733; 1;3;5;6;8;10
      0.229800176555; 3;4;5;6;7;9
      0.229690985466; 1;2;3;5;6;10
      0.229603090522; 0;1;3;5;7;9;10
      0.229507473099; 0;3;6;9
      0.229489443827; 0;2;3;9
      0.229460535595; 0;3;5;6;7;10
      0.229319600991; 4;5;9;10
      0.229266213758; 3;4;5;7;10
      0.229007432390; 2;8;9;10
      0.228986321889; 2;3;4;5;10
      0.228956556729; 2;3;4;7
      0.228919111705; 1;4;9;10
      0.228831370120; 3;4;5;7;8;9;10
      0.228742509367; 1;3;6;7;9;10
      0.228719134179; 2;7;8;9;10
      0.228379920760; 2;5;9;10
      0.228306741019; 2;3;5;7;8;10
      0.228155163028; 0;1;7;8
      0.228078764848; 1;2;3;4;8;10
      0.227970511395; 1;2;4;8
      0.227947564327; 1;2;3;5;9;10
      0.227807367007; 1;4;5;8
      0.227555755123; 1;5;6;9;10
      0.227527941652; 1;3;5;7;8;9;10
      0.227518467740; 0;1;3;6;9;10
      0.227508580353; 5;7;9;10
      0.227475518922; 1;3;8;9
      0.227255365565; 0;1;5;6;9;10
      0.227223677828; 2;3;4;6;9
      0.227098357076; 1;3;4;5;9;10
      0.226776240793; 0;2;3;6;9;10
      0.226617110916; 0;8;9;10
      0.226593843330; 2;3;4;6;9;10
      0.226481345496; 2;4;9;10
      0.226428250536; 1;2;4;6
      0.226099531842; 0;2;4;8;9;10
      0.226060079447; 0;3;4;6;7;10
      0.226059100580; 3;4;5;8;10
      0.225930094784; 1;2;7;9;10
      0.225871799483; 0;2;4;9;10
      0.225830756327; 0;1;3;5;6;9
      0.225794794951; 1;3;5;6;8;9
      0.225530068510; 1;3;4;9
      0.225491845045; 3;4;5;8;9;10
      0.225381282478; 2;5;10
      0.225358480392; 3;5;6;7;9
      0.225316614587; 1;2;3;6;8;10
      0.225308670809; 0;2;3;4;10
      0.225227612135; 0;2;3;4;9;10
      0.225169918927; 0;1;5;10
      0.225133105379; 0;1;3;5;9
      0.225007727686; 1;7;10
      0.224889146066; 2;3;4;9
      0.224880403430; 0;1;3;6;7;10
      0.224858171067; 1;3;4;5;9
      0.224777316762; 1;2;3;4;7;9
      0.224753705341; 1;8;9;10
      0.224744044419; 0;1;5;9;10
      0.224676281069; 0;3;6;7;8;9;10
      0.224646405712; 0;1;3;4;9;10
      0.224641820838; 0;5;8
      0.224496932605; 0;1;3;6;8;9;10
      0.224403266728; 1;2;3;8;9;10
      0.224394949093; 1;3;7;8;9;10
      0.224367536603; 0;1;3;5;9;10
      0.224350558837; 0;1;2;3
      0.224331780557; 2;3;5;7;8;9
      0.224298629151; 0;1;2;3;8;10
      0.224224177679; 2;3;6;8;10
      0.224182691710; 1;2;3;5;8;9;10
      0.223767857700; 0;1;2;10
      0.223767155188; 3;4;7;8;9
      0.223696894550; 1;2;3;4;7;9;10
      0.223586251512; 1;6;9;10
      0.223573291614; 0;3;8;9
      0.223563265227; 1;2;6
      0.223533835830; 4;6;9;10
      0.223409029985; 2;3;4;7;8;9;10
      0.223397212905; 2;3;5;7;9;10
      0.223317619743; 0;2;3;8;9;10
      0.223174829033; 0;2;4;7;9;10
      0.223069233327; 0;3;4;5;10
      0.222967698429; 1;2;4;9;10
      0.222855459770; 0;1;7;9;10
      0.222833625016; 0;3;5;9
      0.222638483829; 0;3;6;7;9
      0.222557548207; 1;3;5;8;9;10
      0.222552518254; 2;4;8
      0.222467456607; 1;3;5;7;8;9
      0.222463415544; 2;3;4;5;7;8;9;10
      0.222403524344; 0;3;4;5;7;8;9;10
      0.222231259417; 0;1;2;8
      0.222182977798; 1;3;6;8;10
      0.222018594831; 0;3;7;8;10
      0.221957013436; 2;3;5;7
      0.221905852970; 0;3;4;5;7;9;10
      0.221895491749; 0;4;7;9;10
      0.221892670882; 0;1;2;6
      0.221823873946; 0;3;4;8;9;10
      0.221721255449; 0;6;9;10
      0.221542106237; 1;2;4;5
      0.221464499712; 1;2;4;5;9;10
      0.221460896558; 1;2;3;5;8;9
      0.221399147239; 0;1;3;4;8;9;10
      0.221353089533; 0;3;7;8;9
      0.221341282515; 0;1;2;4;5
      0.221318105863; 1;2;3;5;7;10
      0.221238728034; 1;2;8;9;10
      0.221221489139; 3;4;5;7;8;10
      0.221218116710; 4;5;7;9;10
      0.221201271358; 2;3;5;7;10
      0.221161166563; 0;1;2;5;9;10
      0.221127971820; 1;2;3;5;8;10
      0.221121028475; 0;3;4;7;8;9;10
      0.220976581873; 1;3;4;7;9
      0.220852799354; 1;3;4;6;8;9;10
      0.220789027371; 0;2;9;10
      0.220705854693; 2;3;4;5;8;9;10
      0.220649148716; 0;2;3;5;6;10
      0.220599236267; 0;4;8;9;10
      0.220546129692; 4;5;8;9;10
      0.220538672226; 0;1;3;7;8;10
      0.220526064303; 0;2;3;5;8;9;10
      0.220501357055; 3;4;6;7;8;9
      0.220425119937; 0;2;6
      0.220367982452; 0;3;5;6;9;10
      0.220269888669; 0;2;5;9;10
      0.220238740928; 1;4;8;9;10
      0.220224317296; 2;4;7;9;10
      0.220196641284; 1;3;7;8;9
      0.220187972424; 0;2;4;6
      0.220170004544; 1;5;7;10
      0.220138832696; 2;3;4;5;7;8;9
      0.220100974926; 3;4;6;7;8;9;10
      0.220086691815; 0;1;2;3;5;10
      0.220008041394; 0;1;3;6;8;10
      0.219982061758; 1;4;5;9;10
      0.219981687136; 2;3;5;8;9
      0.219906486084; 0;1;4;7
      0.219836650771; 3;4;5;6;8;9;10
      0.219810222387; 1;7;8;9;10
      0.219794206554; 3;6;7;8;9;10
      0.219777119611; 0;2;3;4;7;9;10
      0.219660496079; 0;2;3;5
      0.219537046472; 0;2;3;8;10
      0.219518419899; 3;5;7;8;10
      0.219498780131; 1;2;4;8;9;10
      0.219464613056; 2;3;4;6;7;9;10
      0.219376766868; 1;2;4;10
      0.219326656387; 1;3;4;5;7;9;10
      0.219317183773; 0;1;3;5;8;10
      0.219309077074; 0;1;8;10
      0.219301277225; 2;3;4;8;9;10
      0.219249299525; 1;2;5;9;10
      0.219245027548; 1;3;6;8;9
      0.219219085722; 1;3;4;7;8;10
      0.219030579419; 0;1;3;4;5;10
      0.218978554284; 0;1;2;3;9;10
      0.218875835861; 0;2;7;8;9;10
      0.218865409879; 0;2;3;6;7;10
      0.218846535465; 1;3;5;6;7;9
      0.218829632347; 0;1;3;4;5;7;9;10
      0.218815577415; 2;3;4;5;9;10
      0.218786382410; 1;3;4;5;6;9
      0.218773279940; 2;3;6;7;9
      0.218699697152; 0;1;3;4;7;10
      0.218565866506; 0;1;5;9
      0.218437874069; 0;1;5;7;9;10
      0.218414326974; 0;3;5;7;8;9;10
      0.218319523404; 0;3;4;6;8;9;10
      0.218291030589; 2;4;5;10
      0.218281972140; 0;1;4;10
      0.218262326973; 0;1;2;3;7;10
      0.218221277897; 1;2;3;7
      0.218137601492; 0;1;2;3;5;9;10
      0.218135198350; 0;5;6
      0.218046766940; 2;3;6;7;9;10
      0.218020931919; 3;4;5;6;9
      0.218018983753; 0;1;6;7
      0.218001596122; 3;5;6;7;9;10
      0.217872670480; 0;1;3;6;7;9;10
      0.217854578386; 4;7;9
      0.217719297515; 0;1;3;4;7;9;10
      0.217624293914; 0;1;6;9;10
      0.217576661593; 0;1;8;9;10
      0.217516211523; 0;2;3;7;10
      0.217405527242; 1;3;5;6;8;9;10
      0.217342996516; 1;2;4;6;7;9;10
      0.217245675145; 2;5;6
      0.217235267627; 0;3;4;5;8;9;10
      0.217208162750; 3;4;5;6;7;9;10
      0.217105858809; 1;3;4;6;10
      0.217028455930; 2;6;8
      0.216946787270; 0;1;3;4;7;9
      0.216936187028; 0;5;7;8;9;10
      0.216895324598; 1;3;4;6;7;9;10
      0.216885458474; 1;3;5;6;7;9;10
      0.216878233134; 1;2;3;5
      0.216842251015; 1;2;3;4;9
      0.216831388145; 3;4;6;7
      0.216784139754; 2;3;4;8;9
      0.216778706024; 0;1;3;5;6;8;10
      0.216771702674; 1;2;3;6;9;10
      0.216727945972; 1;2;3;4;7;8;9;10
      0.216702677889; 3;4;5;6;10
      0.216672814004; 3;4;6;8;9
      0.216666565499; 0;3;5;8;9;10
      0.216535406791; 1;2;3;6;7;10
      0.216515110494; 0;2;7;9;10
      0.216497034320; 0;1;3;5;7;10
      0.216478952119; 0;3;4;5;6;9;10
      0.216428049335; 1;2;3;4;5;8;9;10
      0.216365238202; 1;3;5;6;7;8;10
      0.216355276922; 1;4;6;9;10
      0.216350072033; 1;5;6;8
      0.216323060105; 3;4;5;6;9;10
      0.216297833427; 2;3;4;6;8;9
      0.216287909840; 0;1;3;5;6;7;9
      0.216233029640; 4;7;8;10
      0.216167528171; 0;3;6;8;10
      0.216155479021; 0;3;6;7
      0.216139136120; 0;1;5;7
      0.216059972997; 0;3;5;7;9;10
      0.216057374767; 0;1;4;5;10
      0.216053546966; 1;3;5;7;8;10
      0.216023681491; 1;2;5;6;10
      0.215971745155; 1;3;4;5;7;10
      0.215967157538; 0;1;2;3;6;10
      0.215966642494; 1;4;7;9;10
      0.215926650146; 6;7;8;9;10
      0.215903013864; 2;4;7;10
      0.215814675817; 1;2;3;7;8;9;10
      0.215799036450; 1;2;5;10
      0.215457268783; 0;2;3;5;9;10
      0.215446398795; 0;3;5;7;8;10
      0.215432040919; 1;2;3;5;9
      0.215377038804; 4;7;8;9;10
      0.215334957593; 6;8;9;10
      0.215315307552; 0;3;4;9
      0.215273748826; 0;3;4;5;6;10
      0.215257662261; 1;2;3;4;7
      0.215246974774; 0;2;5;7;9;10
      0.215215922797; 0;2;3;4;5;8;9;10
      0.215144897114; 5;8;9;10
      0.215058128235; 0;2;3;4;5;9;10
      0.214937119219; 1;2;4;7;9;10
      0.214929491959; 0;1;2;3;8
      0.214928394184; 0;1;5;7;10
      0.214830509376; 1;4;5;7;9;10
      0.214821394306; 0;2;3;5;7;9;10
      0.214641718082; 0;1;4;8
      0.214500063859; 0;1;6;8
      0.214443720260; 1;2;5;7;8;10
      0.214434827557; 0;3;7;8;9;10
      0.214355171936; 0;1;5;8;10
      0.214326795363; 0;4;7;8;9;10
      0.214246243560; 4;6;8;9;10
      0.214201976936; 0;1;3;4;6;10
      0.214159991220; 2;4;5;8
      0.214090048370; 2;3;4;5;9
      0.214008266645; 1;3;4;6;7;10
      0.213999772143; 0;3;4;5;7;8;10
      0.213980136586; 0;2;3;6;7;9;10
      0.213890658213; 0;1;3;7;8
      0.213862216354; 0;1;3;5;6;7;8;10
      0.213852560896; 0;3;5;6;9
      0.213846054287; 0;1;3;4;7;8;10
      0.213798187644; 2;3;5;7;8;9;10
      0.213652859755; 1;2;4;5;10
      0.213630882385; 3;5;6;7;8;9;10
      0.213538401671; 2;3;5;6;7;9
      0.213526379808; 0;1;2;4;6
      0.213507583335; 0;2;3;5;10
      0.213504646280; 0;3;4;5;6;8;10
      0.213476728850; 3;6;7;8
      0.213418482804; 1;3;4;5;8;9;10
      0.213410549380; 1;8;10
      0.213382823344; 0;1;3;4;5;9
      0.213336942587; 1;3;6;7
      0.213330858977; 2;4;5;9;10
      0.213296689597; 0;5;6;10
      0.213217730019; 1;2;3;5;7;8
      0.213207007553; 1;2;3;6;7;9
      0.213151008643; 1;2;3;5;7;9;10
      0.213084200851; 0;7;8;9;10
      0.213073800739; 0;4;6;7;9;10
      0.212971804404; 1;2;7;10
      0.212963403803; 0;1;7;9
      0.212952462271; 0;1;4;6
      0.212933705322; 4;5;7;8;9;10
      0.212908395625; 2;3;5;6;7;8;9
      0.212906379160; 1;4;5;7;10
      0.212868513777; 0;3;5;8;10
      0.212865128354; 0;1;2;3;4;8;9;10
      0.212858543112; 0;1;4;9;10
      0.212841974496; 0;1;8;9
      0.212813999965; 0;1;3;4;5;6;10
      0.212718542482; 2;3;4;5;7;9
      0.212689936453; 1;4;5;8;9;10
      0.212593265582; 1;4;5;6;8
      0.212574760637; 1;2;3;5;6;8;10
      0.212570933277; 1;2;3;7;8;10
      0.212569880938; 2;3;7;8
      0.212534940440; 0;1;3;6;7
      0.212461954776; 0;1;3;5;6;8;9;10
      0.212372096239; 1;3;5;8
      0.212362874437; 0;1;5;6;8;10
      0.212352091397; 0;1;7;8;9;10
      0.212335690439; 1;2;3;4;5;8;10
      0.212334347178; 3;5;8
      0.212333365217; 1;5;8;9;10
      0.212329652300; 1;2;4;5;7;9;10
      0.212303697496; 2;3;4;7;8;10
      0.212251205636; 1;3;4;5;7;8;10
      0.212181159020; 1;2;4;6;7;10
      0.212147096063; 3;4;5;6;7;10
      0.212119640387; 1;2
      0.212111780434; 0;1;3;6;8;9
      0.212087456338; 0;1;2;3;9
      0.212016747857; 0;1;4;5;7;9;10
      0.211881542937; 1;5;6;10
      0.211828804012; 2;5;7;8
      0.211798744024; 5;8;10
      0.211728141224; 1;3;4;5;7;8;9;10
      0.211726393944; 1;2;3;6;7;8;9
      0.211639692149; 0;3;4;5;6;7;10
      0.211547572692; 0;3;5;6;8;10
      0.211516238490; 2;3;6;8;9;10
      0.211488697307; 0;3;6;8;9;10
      0.211463430268; 0;1;3;5;8
      0.211449314500; 1;2;3;5;6;7;9;10
      0.211443328401; 2;5;8;9
      0.211438917876; 1;2;4;5;7;10
      0.211318495394; 0;1;2;3;7
      0.211304572370; 1;3;5;7;10
      0.211264915888; 0;1;3;5;6;7;9;10
      0.211246418909; 0;1;2;8;9;10
      0.211243148445; 0;1;2;3;4;5;10
      0.211222500048; 0;1;3;5;8;9;10
      0.211175184134; 0;2;4;5
      0.211169592502; 2;3;5;8
      0.211087726129; 0;1;4;5
      0.211082222395; 2;6;7;9;10
      0.211014054833; 0;1;4;7;10
      0.210915881334; 0;3;4;5;8;10
      0.210877434734; 3;4;6;7;8;10
      0.210812761305; 3;5;6;7;8;10
      0.210798547543; 0;1;2;4;9;10
      0.210756224456; 1;3;5;7
      0.210730289381; 0;1;2;7;10
      0.210681607152; 0;1;4;5;6
      0.210648755232; 0;1;4;5;8;9;10
      0.210613288000; 0;1;3;4;5;7;10
      0.210592482081; 2;7;10
      0.210581677235; 0;1;3;4;6;9;10
      0.210518635006; 0;2;4;6;8;9;10
      0.210499824596; 3;4;5;7;8;9
      0.210465635807; 0;2;3;4;8;10
      0.210427990813; 1;3;4;5;6;8;9;10
      0.210407666201; 7;8;9
      0.210341038932; 0;2;3;4;5;6;9;10
      0.210331970338; 0;1;2;4;10
      0.210292296927; 0;2;3;4;7;10
      0.210268915129; 0;1;2;3;4;5;6
      0.210256636779; 0;1;3;4
      0.210115123308; 5;7;8;9;10
      0.210092825191; 0;1;2;3;5;8;10
      0.210080216614; 1;2;3;4;8;9;10
      0.210035172870; 2;4;5;6
      0.209983013098; 0;1;3;4;6;7;10
      0.209935370347; 0;1;3;5;8;9
      0.209929895458; 1;3;4;5;6;8;10
      0.209923084618; 1;2;3;8;9
      0.209867213247; 0;4;6;7;8;9;10
      0.209867110020; 2;3;6;7
      0.209848768808; 0;1;5;8;9;10
      0.209834564795; 2;3;5;6;7;10
      0.209832943282; 0;2;3;5;7;8;9;10
      0.209797648987; 5;8;9
      0.209582791493; 0;2;3;4;5;10
      0.209519648962; 0;1;6;7;10
      0.209516560896; 1;5;8;10
      0.209510327734; 0;1;2;7;9;10
      0.209483243438; 0;1;4;5;8
      0.209474872854; 0;2;4;6;8
      0.209473584450; 0;4;5;6;9;10
      0.209443176564; 0;3;4;8;10
      0.209412896962; 1;2;3;4;5;9;10
      0.209397764977; 0;1;2;8;10
      0.209376522748; 2;5;8;9;10
      0.209365527129; 1;2;6;8
      0.209307944109; 0;4;5;8;9;10
      0.209307547725; 2;3;4;6;7
      0.209236001864; 0;3;5;7;8;9
      0.209127648645; 3;5;7;8
      0.209123682385; 0;5;8;9
      0.209113109203; 2;3;6;8;9
      0.209063083834; 0;4;5;7;10
      0.209044494993; 0;3;4;6;7
      0.209034166316; 0;1;2;3;4;9;10
      0.208990318119; 4;9
      0.208975516210; 1;2;3;5;6;7;9
      0.208879532911; 1;2;3;5;6;8;9
      0.208832016016; 0;1;2;9;10
      0.208808634913; 5;7;8;10
      0.208798366064; 2;4;5;8;9;10
      0.208796267438; 0;4;6;9;10
      0.208705814734; 0;1;2;5;10
      0.208680569255; 1;2;5;8;10
      0.208667454802; 2;5;7;9;10
      0.208650066791; 0;2;3;5;8;9
      0.208586427442; 0;1;3;6;7;8;9;10
      0.208560199479; 1;4;6;9
      0.208500473047; 0;5;6;8
      0.208472359666; 2;6;9;10
      0.208471330548; 1;2;4;6;7
      0.208463799072; 0;1;2;7
      0.208443071897; 1;4;6;7;9;10
      0.208363183155; 0;3;5;6;7;9;10
      0.208332967982; 1;4;6;7;10
      0.208325969936; 1;2;4;7
      0.208297510655; 1;2;3;7;8;9
      0.208289792979; 1;2;3;6;8;9;10
      0.208277048599; 3;4;7;8
      0.208268335514; 1;2;9
      0.208250286937; 1;5;6;8;10
      0.208232073455; 2;3;5;6;7;8;9;10
      0.208225515518; 0;1;3;5;7;8;9
      0.208206386660; 0;1;3;5;7;8
      0.208123964399; 0;1;3;4;8;10
      0.207937270869; 1;2;3;5;7;8;9
      0.207888476057; 0;1;4;6;8;9;10
      0.207857868038; 0;1;2;3;8;9;10
      0.207801568672; 0;1;2;3;5;9
      0.207792613875; 0;1;3;6;7;9
      0.207792178910; 0;4;5;7;8;9;10
      0.207735247946; 0;1;3;4;8;9
      0.207712359302; 0;1;5;6;8;9;10
      0.207689977541; 0;2;3;4;6;9
      0.207649070616; 1;2;3;5;7;8;10
      0.207615129524; 0;2;3;5;7;9
      0.207572623478; 2;3;4;5;8;9
      0.207504243033; 0;2;3;4;9
      0.207502505357; 0;1;2;5;8
      0.207494450993; 1;2;5;6;8
      0.207487199662; 0;2;4;6;9;10
      0.207485784300; 0;1;2;9
      0.207467732850; 0;1;3;6;7;8
      0.207441586765; 1;2;5;7;8;9;10
      0.207419971765; 0;1;3;7;8;9;10
      0.207382751129; 1;4;5;10
      0.207376386183; 2;3;4;5;8;10
      0.207348021567; 0;1;2;6;8;10
      0.207313679393; 1;2;10
      0.207289151115; 1;5;7;8;10
      0.207288164702; 0;1;4;5;6;10
      0.207236927083; 1;5;9
      0.207193353873; 0;3;4;6;9
      0.207186425703; 2;3;5;6;9
      0.207167779636; 0;2;4;8;10
      0.207139043442; 1;2;4;5;7
      0.207100865597; 1;2;3;5;6;8;9;10
      0.207072863688; 1;2;3;5;7;8;9;10
      0.207027632911; 4;6;7;10
