      0.243155763940; 1;2;6;7
      0.190655799631; 0;1;2;3;4;7
      0.190630174080; 0;1;2;5;6;7
      0.190434076604; 0;1;2;3;5;6
      0.189907452769; 1;4;7
      0.189804783963; 0;2;4;5;6
      0.189675559257; 2;3;5;6;7
      0.189277608727; 1;2;3;5;7
      0.188478890011; 2;5;6;7
      0.187165486689; 2;5;7
      0.186920212356; 0;2;5;7
      0.186890432099; 3;6
      0.186694047034; 0;1;3;5;7
      0.186635793599; 0;2;5;6;7
      0.186423795121; 1;4;5;6;7
      0.186205811970; 1;3;4;5;7
      0.185714290591; 0;2;4;5;7
      0.185640432099; 4;7
      0.185434870592; 0;1;3;5;6
      0.185269799887; 3;5;7
      0.185134264953; 1;3;5;6;7
      0.184845679012; 1;5
      0.184741360386; 0;1;5;6;7
      0.184711275657; 0;1;5;6
      0.184671699327; 0;1;3;4;5;6
      0.184220291294; 1;2;5;7
      0.184135661844; 1;2;3;4;5;6;7
      0.184133549942; 0;1;2;3;5;7
      0.184128696104; 0;1;3;4;5;6;7
      0.184104031585; 0;2;5;6
      0.183955978518; 0;2;3;5;7
      0.183906327299; 0;2;3;5
      0.183862263668; 2;4;7
      0.183782057434; 0;2;6
      0.183655586789; 0;2;3;5;6;7
      0.183463301158; 0;2;3;6
      0.182868361198; 0;3;5;7
      0.182573571466; 0;4;5;7
      0.182571361560; 1;5;6;7
      0.181943786343; 0;3;5;6
      0.181792408099; 0;5;6
      0.181536044793; 0;1;2;3;4;5;6;7
      0.181535493827; 1;6
      0.181471300499; 0;2;3;5;6
      0.181254492698; 0;1;2;5;7
      0.181047394162; 3;4;6
      0.180976856346; 1;4;5;7
      0.180767028108; 0;1;2;3;5;6;7
      0.180628586976; 0;1;2;3;4;5;7
      0.180257522026; 4;5;7
      0.178859463053; 1;4;6;7
      0.178726851852; 0;2
      0.176342592593; 3;5
      0.175748456790; 0;6
      0.172126417667; 0;2;7
      0.170865962994; 0;1;4;5;7
      0.170177004322; 0;1;3;5;6;7
