      0.228388888889; 2;7
      0.186412628647; 0;1;3;4;5;6;7
      0.186197081517; 0;1;3
      0.186134706508; 1;3;5
      0.185933895213; 0;2;3;4;6
      0.185797641185; 1;4;6
      0.185444444444; 1;3
      0.185434915802; 0;5;6
      0.185222222222; 3;5
      0.185194003531; 2;3;5;6
      0.184955339218; 2;3;6
      0.184951914861; 0;1;2;7
      0.184833333333; 4;5
      0.184815810681; 1;5;7
      0.184709059951; 1;3;6
      0.184644725834; 0;1;6
      0.184563909179; 0;1;2;3;4;5;6;7
      0.184432332377; 0;3;4;5;7
      0.184090402463; 0;1;2;3;4;7
      0.184023467994; 0;2;3;6;7
      0.183668457501; 0;1;2;3;5
      0.183471932465; 2;3;4;5;7
      0.183420222536; 0;3;5
      0.183406720286; 0;1;2;3;4;5;6
      0.183345907188; 0;1;3;4;6;7
      0.183128787242; 0;2;3;4;5;6
      0.183040717464; 0;1;2;4;5;7
      0.183034030846; 2;6;7
      0.182732348748; 1;2;4;6
      0.182716610031; 0;1;3;7
      0.182571387284; 4;5;6
      0.182540596748; 0;1;3;5;7
      0.182435471825; 1;2;5;6
      0.182287289915; 0;2;3;4
      0.182002027453; 0;1;2;6
      0.181995702322; 1;2;3;5
      0.181993031900; 0;1;2;5;6;7
      0.181966826087; 2;3;6;7
      0.181621606371; 3;4;5;6;7
      0.181582549422; 0;1;2;5
      0.181559421300; 3;5;6;7
      0.181533403712; 1;5;6;7
      0.181504170118; 0;1;4;6
      0.181333333333; 4;7
      0.181286101589; 2;3;4;5;6
      0.181260178652; 3;4;6
      0.181232812726; 0;1;2;4;5;6
      0.181152651412; 0;1;4;5;7
      0.181149794706; 0;1;4;5
      0.181136075829; 0;2;5;6
      0.181093068492; 0;1;2;3;4;6;7
      0.180876447440; 0;1;6;7
      0.180713086356; 0;2;3
      0.180676279292; 2;4;5;6;7
      0.180582249074; 0;2;4
      0.180566566353; 3;4;5
      0.180542620515; 4;6;7
      0.180452019989; 1;3;5;6
      0.180373805475; 1;3;4;5;6;7
      0.180283409461; 0;1;2;4;5;6;7
      0.180194037109; 1;2;3;6
      0.180165171025; 0;1;4;5;6;7
      0.180103312098; 0;3;7
      0.179947763353; 0;1;3;5
      0.179792003027; 3;5;6
      0.179540062369; 0;1;3;4;5;6
      0.179398222789; 0;3;4;5
      0.179285657886; 2;5;6
      0.179137370381; 0;3;4;6;7
      0.179016109844; 0;4;5;7
      0.179002468894; 0;1;2;3;4;6
      0.178888888889; 5;7
      0.178749127770; 3;4;5;7
      0.178494651995; 2;3;4;6
      0.178361607913; 1;2;3;4;5
      0.178217957294; 0;2;4;5;7
      0.178172968793; 0;1;2;4;5
      0.178084376951; 0;2;3;4;7
      0.177931670949; 1;3;5;6;7
      0.177925921545; 0;1;2;5;6
      0.177888888889; 6;7
      0.177837983467; 0;6;7
      0.177810969546; 1;3;6;7
      0.177655008319; 5;6;7
      0.177565976961; 1;2;5;6;7
      0.177550930529; 3;4;6;7
      0.177511159600; 2;4;6;7
      0.177112656108; 0;4;5;6;7
      0.176484106745; 0;3;4;7
      0.176282981239; 1;2;3;4;5;6
      0.175676266470; 0;1;2;4;6;7
      0.175577673182; 0;3;4;5;6;7
      0.175394190433; 1;3;5;7
      0.175222222222; 1;6
      0.175154384736; 0;2;3;4;5;6;7
      0.174969548926; 0;1;2;6;7
      0.174813199847; 0;4;6;7
      0.174711868923; 0;3;5;7
      0.174356673223; 0;2;4;6
      0.174221874874; 0;3;4;6
      0.174191975149; 1;3;4
      0.174169540257; 0;2;6;7
      0.174130259149; 4;5;7
      0.173888888889; 1;4
      0.173725325486; 0;1;2;4
      0.173457378212; 2;4;5;6
      0.173444444444; 3;7
      0.173268678379; 2;4;5
      0.173201033360; 0;1;5
      0.172781147604; 3;4;5;6
      0.172695438614; 1;3;7
      0.172562059946; 1;3;4;5
      0.172277777778; 2;5
      0.172183875882; 2;3;4
      0.171906690448; 0;4;5;6
      0.171849392889; 2;3;4;5;6;7
      0.171644488898; 2;3;4;5
      0.171459853937; 0;2;3;4;6;7
      0.171001691456; 1;6;7
      0.170955939360; 2;3;4;6;7
      0.170444444444; 1;2
      0.169451166249; 0;2;6
      0.169222222222; 0;2
      0.168917417287; 0;1;5;7
      0.168430758264; 1;2;6
      0.168388888889; 3;4
      0.168069115484; 0;2;3;4;5
      0.168020430033; 0;2;4;5
      0.168011888729; 0;2;3;5
      0.167408184947; 0;2;4;5;6;7
      0.166306195320; 0;3;4;5;6
      0.165987109181; 0;1;2;3;4;5
      0.165838980916; 0;1;7
      0.165682348168; 0;2;4;6;7
      0.164945515595; 0;2;4;5;6
      0.164330925776; 4;5;6;7
      0.163973701878; 0;2;5
      0.162842722375; 3;4;7
      0.162197831002; 3;6;7
      0.158722222222; 2;6
      0.155111111111; 0;5
      0.154397542305; 0;1;2
