      0.365933449899; 0;1;4
      0.190878786744; 0;2;3;4;5;6
      0.190729281083; 1;2;7
      0.190236039330; 0;2;6
      0.189981245303; 2;4;7
      0.189206138050; 0;3;7
      0.189163583757; 0;1;4;5;7
      0.188719109997; 0;1;2;4;6;7
      0.187857554600; 1;4;5
      0.185911156662; 0;1;2;3;7
      0.185338508859; 0;1;2;3;4;6;7
      0.185114138847; 2;3;5
      0.184589594345; 0;3;6
      0.184450300045; 1;2;3;4;5;6
      0.184273367852; 0;2;3;4;5;7
      0.183846224970; 0;2;3;4;6;7
      0.183669975058; 0;1;2;3;5
      0.183553128353; 0;2;5
      0.183514756286; 0;1;4;5;6
      0.182335394836; 0;3;4;5;7
      0.182229003354; 3;4;5
      0.182033084204; 1;2;4;5;6
      0.181548190206; 2;3;6
      0.181289249819; 1;2;4;5;7
      0.180820360466; 1;3;4;5;7
      0.180730443105; 2;3;7
      0.179991824712; 0;1;2;3;5;6
      0.179458119227; 0;2;3;5;6
      0.179334778234; 0;1;2;4;5;7
      0.177301838944; 1;2;3;6;7
      0.175665321956; 0;3;5
      0.175579859104; 2;4;6
      0.173049129354; 0;2;3;6
      0.171954637043; 0;1;3;5;7
      0.171154978478; 1;2;3;4;6;7
      0.170432511245; 0;2;4;5;7
      0.169909914620; 1;2;5;7
      0.169893496740; 2;4;5
      0.169396487027; 0;1;2;3;5;7
      0.168621082708; 0;1;2;5;6
      0.167464290358; 2;3;4;7
      0.167011215127; 0;2;4;5;6
      0.166404907132; 0;1;2;6;7
      0.166326310217; 0;1;5;7
      0.166190911114; 1;2;6;7
      0.166176661977; 1;2;4;6;7
      0.165258577460; 0;1;3;5;6
      0.165004505423; 0;1;2;3;4;5;6;7
      0.164131097221; 0;1;2;5;7
      0.163316254872; 1;2;3;4;5;7
      0.163221344048; 0;1;3;4;5;6;7
      0.162136384479; 0;4;5;7
      0.161387802693; 0;1;2;5;6;7
      0.161111023668; 0;2;3;6;7
      0.160870224831; 0;1;4;5;6;7
      0.160265342897; 0;2;4;6;7
      0.160048649033; 1;3;5;7
      0.159251566591; 1;2;3;5;6
      0.159207910930; 0;2;3;5;7
      0.159086823940; 1;4;5;7
      0.158105360460; 1;3;6;7
      0.157994041733; 1;3;4;5;6;7
      0.157910281923; 0;4;6;7
      0.157864122741; 0;1;3;6;7
      0.157779675587; 0;2;3;4;5;6;7
      0.157613066342; 0;3;4;5;6;7
      0.156071183368; 0;1;5;6
      0.156049760817; 0;1;2;4;5;6;7
      0.155729805816; 0;1;2;3;6;7
      0.155499215601; 1;2;5;6
      0.155252595416; 0;1;6;7
      0.153793766458; 2;3;4;6;7
      0.152933317563; 2;3;4;5;6
      0.152423726210; 1;2;3;5;7
      0.152415362920; 0;1;2;3;5;6;7
      0.150289837893; 1;2;4;5;6;7
      0.148808546469; 0;2;5;6
      0.148211478337; 2;4;5;6
      0.146780606930; 0;1;3;5;6;7
      0.146486085113; 0;3;5;7
      0.146409712565; 0;4;5;6
      0.146279970823; 1;3;5;6
      0.145829577499; 1;4;6;7
      0.144435126897; 2;3;4;5;7
      0.143378753176; 1;2;3;5;6;7
      0.143162902276; 0;3;6;7
      0.141813185242; 2;3;5;6
      0.141111406906; 3;4;5;7
      0.140942196419; 1;2;3;4;5;6;7
      0.139946693553; 0;1;5;6;7
      0.139644426063; 1;4;5;6
      0.138974263844; 3;4;6;7
      0.136994900449; 2;3;5;7
      0.135656160894; 2;4;5;7
      0.135221748681; 0;3;5;6
      0.134080295132; 2;3;6;7
      0.132938837874; 0;4;5;6;7
      0.132229314344; 3;4;5;6
      0.132087980371; 2;4;6;7
      0.129796410533; 0;2;6;7
      0.129067237421; 0;2;4;5;6;7
      0.128494787273; 1;2;5;6;7
      0.127507104213; 0;2;5;7
      0.127500451543; 0;2;3;5;6;7
      0.126662080625; 2;3;4;5;6;7
      0.125024849198; 3;4;5;6;7
      0.122251086032; 2;3;5;6;7
      0.121289038975; 1;3;5;6;7
      0.119625973785; 0;3;5;6;7
      0.115582220098; 1;4;5;6;7
      0.115137700509; 2;4;5;6;7
      0.111340541446; 0;2;5;6;7
      0.104000173837; 3;6;7
      0.102997443050; 3;6
      0.101175034868; 2;5
      0.098672129242; 1;6
      0.097983351387; 3;5;6
      0.097546490005; 3;5
      0.096250581125; 2;7
      0.095751741432; 1;5;7
      0.095211529521; 2;6
      0.094592050209; 5;7
      0.094286271936; 2;5;7
      0.094173640167; 3;7
      0.093602112060; 3;5;6;7
      0.093509414226; 4;5
      0.093095653185; 4;7
      0.092316778619; 5;6;7
      0.091970938263; 3;5;7
      0.091711914639; 4;5;6;7
      0.091669119387; 2;6;7
      0.091533007903; 4;6
      0.091007670851; 5;6
      0.090953045095; 1;7
      0.090493956299; 1;5
      0.090140938330; 2;5;6;7
      0.090093395768; 1;6;7
      0.089692030626; 4;5;7
      0.089492630141; 1;5;6;7
      0.089273945050; 0;6;7
      0.088168293817; 6;7
      0.087310632507; 4;6;7
      0.087241399349; 0;6
      0.087023556080; 0;5;6;7
      0.086411891415; 2;5;6
      0.085968940533; 4;5;6
      0.082268131102; 0;5
      0.082165702044; 0;5;6
      0.081748316538; 1;5;6
      0.080266068326; 0;5;7
      0.078727336123; 0;7
