      0.293438116265; 0;1;4
      0.212870508490; 0;2;5;7
      0.212796649429; 1;2;6
      0.212743466286; 0;2;4;5;7
      0.212650650047; 1;4;6
      0.212610838164; 1;2;3;4;5;6;7
      0.211972301477; 4;5;6;7
      0.211588404028; 0;3;4;6
      0.211554768718; 0;1;4;5;6;7
      0.211321389438; 0;2;3;4;6
      0.211281512605; 4;5
      0.210947168936; 0;1;2;3;6;7
      0.210836072252; 0;1;2;4;5;6;7
      0.210713133787; 1;3;5;6
      0.210411603333; 1;2;3;4;6;7
      0.210358217634; 0;5;6;7
      0.210304621849; 1;5
      0.210202971263; 0;2;3;6;7
      0.210157238917; 1;2;3;7
      0.208659700937; 1;3;4;5;6;7
      0.208004201681; 4;6
      0.207829118809; 2;4;7
      0.207783613445; 2;6
      0.207401021364; 3;4;5;6
      0.207369867577; 1;3;4;6
      0.207252060848; 0;2;3;5;6;7
      0.206956861207; 0;1;3;5;6;7
      0.206862523527; 0;3;4;5;6
      0.206628151261; 2;7
      0.206439075630; 0;5
      0.206386554622; 5;6
      0.206269545814; 0;3;5
      0.206248290109; 2;3;4;5;6;7
      0.205756302521; 2;5
      0.205746548386; 1;2;5;6;7
      0.205187748956; 0;2;3;7
      0.205135647849; 1;3;6
      0.204737231937; 0;1;5;7
      0.204716386555; 1;7
      0.204055852644; 0;5;6
      0.204021311506; 4;5;7
      0.203737354407; 2;4;5;6;7
      0.203491639724; 1;2;3;6;7
      0.203481342660; 1;2;6;7
      0.203408274732; 0;3;6;7
      0.203294005015; 0;3;5;7
      0.202523245760; 1;2;3;6
      0.200225384308; 0;5;7
      0.200057274940; 1;2;3
      0.200048103470; 1;2;5
      0.200038302470; 2;4;5;7
      0.199728259013; 1;3;5;6;7
      0.198478554942; 1;2;3;5;6;7
      0.198418931902; 2;3;6
      0.197804621849; 0;7
      0.197670342815; 0;1;2;5;6;7
      0.197663055039; 0;2;4;5;6;7
      0.197405462185; 3;5
      0.196981299541; 0;1;2;3;5;7
      0.196871851188; 2;3;4
      0.196861157290; 0;3;6
      0.196718088327; 0;1;2;3;5;6
      0.196607142857; 1;6
      0.195408297198; 2;4;6
      0.195374569574; 2;3;6;7
      0.195220588235; 2;3
      0.195210084034; 6;7
      0.194651423181; 2;6;7
      0.194590336134; 2;4
      0.194589492723; 2;4;5
      0.194582467369; 1;3;7
      0.194359243697; 3;4
      0.194141103178; 1;3;6;7
      0.193071713890; 0;3;7
      0.193019815152; 2;4;6;7
      0.192268907563; 0;3
      0.190364675357; 3;4;6
      0.189417806866; 0;1;2;3;5;6;7
      0.188371848739; 1;3
      0.184558823529; 3;7
      0.183490758425; 1;6;7
