      0.251680328600; 0;1;3
      0.163971820475; 1;2;3;5
      0.163507449994; 0;1;4;5;6
      0.163288151524; 0;4;5
      0.163179346151; 0;2;3;4;5;6
      0.163143270927; 1;2;3
      0.163029595095; 0;4;7
      0.162876701870; 2;3;4;5;7
      0.162849922013; 0;1;3;5;6
      0.162819996262; 0;1;2;6
      0.162405711344; 1;3;4;5;6;7
      0.161967308163; 0;4;5;6;7
      0.161961342551; 1;3;4;6
      0.161946626268; 3;4;5;6;7
      0.161816998694; 1;3;4;5;6
      0.161597884571; 0;2;4;5;6
      0.161591170099; 2;3;5;6;7
      0.160839384240; 1;2;4;6;7
      0.160788809805; 0;1;2;3;5
      0.160778245192; 3;6
      0.160247298704; 0;2;5
      0.160204326923; 2;7
      0.160008375336; 0;1;6;7
      0.159786794084; 1;2;3;4;6
      0.159735977255; 0;5;6
      0.159693370856; 2;5;7
      0.159665712406; 0;1;7
      0.159589535368; 0;1;2;3;4;5;7
      0.159577789024; 0;5;6;7
      0.159506672243; 0;1;2;3;5;6;7
      0.159453465839; 1;4;5
      0.159415062168; 4;5;6;7
      0.159330005447; 2;4;7
      0.159295166637; 2;3;5
      0.159154932220; 0;1;3;5;7
      0.158648253140; 0;1;2;7
      0.158073853809; 1;2;3;5;7
      0.158056559299; 1;3;5;6;7
      0.158041578923; 1;4;5;6
      0.157922145561; 0;4;5;7
      0.157888084722; 1;2;3;5;6;7
      0.157767427885; 2;5
      0.157731876639; 1;2;3;4;7
      0.157627798680; 1;2;3;4;5;6
      0.157540997922; 0;1;4;5;6;7
      0.156848208165; 0;1;2;4;7
      0.156797475937; 2;3;5;7
      0.156655402171; 0;2;4;5;7
      0.156588953304; 0;1;4;6;7
      0.156200222516; 1;2;3;6;7
      0.155954646085; 0;1;2;3;4;5;6;7
      0.155908816788; 0;1;5;6;7
      0.155895626897; 1;2;4;5
      0.155470743106; 1;2;3;4;6;7
      0.155428433143; 2;3;4;5;6;7
      0.155272152017; 0;1;4;6
      0.155089967705; 2;4;5;6
      0.154983986387; 1;2;3;7
      0.154980869783; 2;3;7
      0.154753642653; 3;4;6;7
      0.154627868348; 1;4;6
      0.154443027325; 2;3;4;7
      0.154308894231; 0;5
      0.154207686420; 1;2;4;5;6
      0.154189622473; 1;2;3;6
      0.154100863342; 0;1;5;6
      0.154029540632; 1;4;6;7
      0.153922900058; 1;2;4;5;7
      0.153560098823; 0;2;5;6;7
      0.153415836347; 0;1;2;4;5;7
      0.153277348504; 4;5;7
      0.152926558157; 1;2;3;4;5;6;7
      0.152740906317; 0;1;6
      0.152731853950; 1;2;5;6;7
      0.152694575747; 0;1;2;5;6;7
      0.152673533787; 1;3;5;6
      0.152527453182; 0;1;4;5;7
      0.152519545228; 2;3;6;7
      0.152424166990; 1;2;5;7
      0.152367715862; 1;2;3;5;6
      0.152298962648; 1;2;4;5;6;7
      0.152206055791; 0;2;6;7
      0.152169360402; 2;4;5;7
      0.152168540165; 1;3;5;7
      0.151903319334; 0;2;5;7
      0.151821979511; 0;4;6;7
      0.151572810780; 1;4;5;6;7
      0.151559431994; 4;5;6
      0.151550480769; 0;6
      0.151457331731; 1;2
      0.151013869987; 2;4;6
      0.150903031994; 0;2;7
      0.150841346154; 0;1
      0.150518121367; 3;6;7
      0.150506038643; 0;6;7
      0.150493541342; 1;2;5;6
      0.150476881383; 0;1;2;4;5;6;7
      0.150037655218; 1;2;6;7
      0.150015448125; 1;2;6
      0.149444110577; 1;7
      0.149029182517; 3;5;6
      0.148002279929; 1;2;4;6
      0.147638059874; 1;4;5;7
      0.147634532372; 0;1;2;5
      0.147613545655; 0;1;2;5;7
      0.147485000554; 0;1;5
      0.147443061413; 2;4;6;7
      0.147157451923; 4;5
      0.146812692443; 0;1;2;3;5;7
      0.146678302755; 0;1;2;4;5;6
      0.146616623370; 0;1;2;5;6
      0.145617861330; 0;1;5;7
      0.145288461538; 4;6
      0.144537623905; 0;2;4;5;6;7
      0.144424396987; 4;6;7
      0.144206730769; 5;7
      0.143339188738; 2;4;5
      0.142498749466; 1;2;3;4;5;7
      0.142254398877; 0;5;7
      0.141890024038; 1;5
      0.141764836975; 1;2;5
      0.141688701923; 2;3
      0.141009615385; 0;7
      0.139863369690; 1;3;6;7
      0.139829548175; 1;5;7
      0.139606370192; 1;6
      0.138305288462; 3;5
      0.138146296356; 1;6;7
      0.131941105769; 3;7
