      0.393751172439; 0;3;4;6
      0.323062454906; 0;1;3;4;5;6
      0.323011453824; 0;4;6
      0.322584054834; 1;2;5;6;7
      0.322156565657; 1;5;7
      0.321929879149; 1;3;4;5;7
      0.321133928571; 1;3;6
      0.321015376984; 1;4;7
      0.320738005051; 2;4;5
      0.320593073593; 0;1;2;3;4;6;7
      0.320486905456; 0;1;4;5
      0.320067866162; 0;1;3;6
      0.319807900433; 0;4;5;7
      0.319538645382; 0;1;3
      0.319486832612; 0;1;4;6;7
      0.319460858586; 0;1;2;6;7
      0.319283685065; 0;3;5;6
      0.319200216450; 0;1;2;3;4
      0.318580749112; 0;2;3;4;5;6
      0.318488275613; 0;2;4;6;7
      0.318009514791; 0;1;2;3;5;6
      0.317864583333; 1;4
      0.317343750000; 0;7
      0.317253156566; 0;2;3;4;5
      0.317228625541; 0;1;2;4;5;7
      0.317160849567; 0;2;3;5;6;7
      0.316968524531; 1;3;5;6
      0.316947601010; 2;4;7
      0.316635101010; 1;2;3;4;6;7
      0.316205898268; 1;2;4;7
      0.315681682900; 0;2;5;7
      0.315671928766; 0;1;3;4;5
      0.315410939755; 3;4;6
      0.315364583333; 6;7
      0.315359713203; 2;3;5;6
      0.315266369048; 1;4;6
      0.315208829365; 3;4;6;7
      0.314838158369; 1;2;3;5;7
      0.314375000000; 3;7
      0.313973214286; 2;5;6;7
      0.313708558802; 0;1;3;4;5;6;7
      0.313530663781; 1;2;5;7
      0.313293605700; 0;3;6;7
      0.312929518398; 0;2;6;7
      0.312796626984; 1;3;4
      0.312604166667; 3;5
      0.312404761905; 0;1;7
      0.312237914863; 1;2;3;7
      0.312087797619; 2;3;6
      0.311698367605; 0;2;3;4;5;6;7
      0.311386544012; 1;2;5
      0.311171987734; 0;1;3;4;7
      0.311164876790; 0;2;3;5;6
      0.310557178932; 0;2;3;7
      0.309218750000; 4;6
      0.309169146825; 0;2;6
      0.309010416667; 1;3
      0.308958333333; 1;2
      0.308951388889; 0;2;5;6;7
      0.308746978716; 1;4;5;6
      0.308682043651; 1;2;3
      0.308417974387; 0;4;5;6;7
      0.308325396825; 1;2;4;5;6;7
      0.308215374903; 0;1;5
      0.308188807720; 0;2;4;7
      0.308182494589; 2;3;6;7
      0.308012896825; 0;1;4;5;6
      0.307328869048; 1;2;4
      0.307225694444; 2;3;4;5;6
      0.307215367965; 2;4;6
      0.306875000000; 2;7
      0.305734893579; 0;2;3;5
      0.305717570624; 0;2;3;4
      0.305693362193; 0;1;5;7
      0.305675595238; 2;3;4;6;7
      0.305579996392; 1;4;5;7
      0.305138167388; 3;5;7
      0.305065160534; 1;3;7
      0.304801760739; 1;3;4;5;6
      0.304769147519; 0;2;3;5;7
      0.304686102092; 0;1;2;5;7
      0.304624053030; 0;5;6;7
      0.304532738095; 0;1;2;3;7
      0.304359172078; 0;1;2;3;5;7
      0.303998196248; 0;1;3;5;6
      0.303940386003; 4;5;6;7
      0.303542433261; 1;2;4;5
      0.303450081169; 1;3;5;7
      0.303331349206; 1;4;5;6;7
      0.303178796898; 1;2;3;6
      0.303082115801; 0;1;3;4;5;7
      0.303017180736; 1;4;6;7
      0.302889117827; 1;2;4;6;7
      0.302749954906; 1;3;6;7
      0.302656250000; 5;7
      0.301614583333; 0;5
      0.301462121212; 1;2;3;4;5;6
      0.301288780664; 0;1;2;5;6
      0.300893668831; 0;3;5;6;7
      0.300516445360; 2;3;4;6
      0.300333028083; 0;1;2;4
      0.300178661616; 0;1;2;3;4;5;7
      0.300011904762; 2;3;4
      0.299791666667; 4;7
      0.299559020840; 0;2;4;5;7
      0.298937996032; 1;2;6
      0.298850288600; 2;3;5
      0.297236877706; 0;1;2;5;6;7
      0.297079500361; 2;5;6
      0.296363761239; 0;1;3;6;7
      0.296231646825; 0;1;6
      0.295707296176; 1;2;4;5;6
      0.295531746032; 0;3;7
      0.295400748557; 1;2;5;6
      0.295372745310; 1;3;4;6
      0.295304743867; 0;1;2;3;5
      0.294874007937; 0;1;2;4;5;6
      0.294866567460; 1;6;7
      0.294851415945; 0;2;4;5
      0.294699900794; 1;3;4;5
      0.294698457792; 0;1;2;6
      0.294689484127; 0;1;2;7
      0.294527236652; 0;1;2;3;4;5;6;7
      0.294414186508; 0;2;5
      0.294269841270; 0;1;4;6
      0.294247835498; 0;1;2;4;6
      0.293996527778; 0;1;2
      0.293390963203; 5;6;7
      0.293229166667; 5;6
      0.293229166667; 2;4
      0.293193948413; 0;2;4;5;6;7
      0.292129825036; 3;5;6;7
      0.291064844877; 0;1;2;3;4;5
      0.290742559524; 1;2;4;5;7
      0.289600649351; 1;5;6
      0.289414096320; 0;1;3;5
      0.288815836941; 0;3;5;7
      0.288177083333; 2;6
      0.287865079365; 0;1;2;4;5;6;7
      0.287861156205; 0;1;5;6
      0.286822916667; 2;5
      0.286804292929; 2;4;5;6
      0.286632936508; 2;4;6;7
      0.286562500000; 3;4
      0.286145833333; 2;3
      0.286104940199; 0;1;3;5;6;7
      0.286076298701; 0;1;2;3;5;6;7
      0.285372474747; 2;4;5;7
      0.285288780664; 0;1;2;3;4;5;6
      0.284871708153; 2;4;5;6;7
      0.284092577561; 1;2;3;4
      0.282942325036; 0;1;2;4;5
      0.282552083333; 1;6
      0.282503382035; 0;1;2;3
      0.282281746032; 0;5;6
      0.282129509380; 1;2;3;4;6
      0.281688852814; 2;3;4;7
      0.281684163059; 0;5;7
      0.281391639610; 0;2;4;6
      0.281153083028; 1;3;5;6;7
      0.280643741675; 1;5;6;7
      0.280312996032; 3;4;7
      0.280216314935; 0;1;3;7
      0.279362373737; 1;2;4;6
      0.279296626984; 1;2;3;4;5
      0.278502389971; 2;3;4;5
      0.277630997475; 1;2;3;5
      0.277227678571; 0;1;6;7
      0.276562500000; 0;6
      0.275957656926; 1;2;3;4;5;6;7
      0.275149981962; 0;2;4;5;6
      0.274421717172; 0;1;2;5
      0.274005411255; 0;1;3;5;7
      0.273329635642; 0;2;5;6
      0.260673701299; 0;1;5;6;7
