      0.177243525447; 3;6;7
      0.145424125988; 1;4;5;6
      0.145409013932; 0;1;4;6
      0.145357859532; 2;5
      0.145345229042; 1;3;6;7
      0.145343775479; 0;2;3
      0.145151795125; 0;2;4
      0.145076517832; 0;3;6
      0.144938058610; 0;1;2;4;6;7
      0.144879050190; 0;1;6
      0.144688958475; 0;2;5
      0.144682782683; 0;2;3;4;5
      0.144641723853; 0;2;3;5
      0.144487341607; 4;5;6;7
      0.144319624026; 1;3;4;6;7
      0.144310179911; 2;6;7
      0.144298660051; 0;2;3;6
      0.144238491690; 0;1;2;3;4;5;6;7
      0.144199692237; 0;1;2;6;7
      0.144196059367; 0;2;3;4;6;7
      0.143926416103; 0;1;3;5;6
      0.143648401903; 1;2;3;4;6;7
      0.143635564694; 1;2;4;6
      0.143525754646; 3;5;7
      0.143316187150; 0;1;4;6;7
      0.143205982183; 1;2;3;4;5;6
      0.143078826120; 0;1;2;5;6
      0.143055486051; 1;4;7
      0.143010824977; 0;1;2;3;5;6;7
      0.142947193188; 0;2;3;4;7
      0.142785922789; 0;1;2;3;4;7
      0.142641141616; 0;1;3;4;5;6;7
      0.142620958751; 0;6
      0.142488294314; 6;7
      0.142427530752; 0;2;4;5
      0.142178121045; 0;1;2;4;6
      0.142067954201; 1;5;7
      0.141952530286; 0;1;4;5;6;7
      0.141929550754; 0;1;3;4;5
      0.141865402702; 1;2;4;6;7
      0.141854714915; 1;5;6;7
      0.141796307976; 0;2;3;5;7
      0.141792519969; 1;3;4;5;7
      0.141787834274; 0;1;2;3;4;6;7
      0.141777637610; 0;1;5
      0.141695173591; 3;4;7
      0.141680170927; 0;2;3;4
      0.141644061956; 0;2;3;4;5;7
      0.141596047007; 2;3;4;5;7
      0.141580010942; 1;2;3;4;5;7
      0.141546744916; 1;2;3;4;5;6;7
      0.141536231884; 3;4
      0.141524547777; 0;2;3;5;6;7
      0.141478095329; 0;4;5
      0.141211484796; 2;4;5;6
      0.141105273632; 0;1;4;5;6
      0.140901066575; 1;4;5;7
      0.140893049697; 0;2;5;6
      0.140888057367; 0;1;2;3;4;5;7
      0.140878854042; 1;5;6
      0.140858897865; 2;3;6
      0.140733380436; 0;2;4;6;7
      0.140635261245; 0;3;4;6
      0.140587417084; 0;1;3;4;6;7
      0.140222208427; 2;3;7
      0.139987508635; 1;2;3;4;7
      0.139965440357; 1;6
      0.139251036638; 3;4;5
      0.139171391636; 1;2;6;7
      0.139147157191; 5;7
      0.139093558559; 0;4;6;7
      0.138848220253; 4;5;7
      0.138819401760; 1;4;5;6;7
      0.138668034343; 2;3;4;5
      0.138493855444; 0;1;2;3;4;5
      0.138238129671; 0;5;6
      0.138220007444; 0;1;6;7
      0.138207674616; 0;2;5;6;7
      0.138073111180; 1;3;4
      0.137960225841; 0;1;5;6
      0.137714774727; 0;4;6
      0.137589684612; 0;2;4;6
      0.137513935340; 2;7
      0.137473981675; 0;2;4;5;6;7
      0.137453272227; 2;5;6;7
      0.137087707571; 0;1;4;5
      0.137017563959; 1;6;7
      0.136990426217; 2;5;7
      0.136921705241; 0;1;2;5;6;7
      0.136834814031; 2;4;6;7
      0.136784686926; 0;1;5;6;7
      0.136539370739; 0;4;7
      0.136276462887; 0;3;4
      0.136261727810; 0;1;2;4;5
      0.136030590013; 0;2;6;7
      0.136018641093; 0;1;2;4;5;7
      0.135965407401; 2;3;5;7
      0.135897691147; 0;2;6
      0.135658535919; 2;4;5;6;7
      0.135652165992; 0;3;4;5
      0.135649741343; 2;4;6
      0.135616532120; 0;1;3;4
      0.135554035443; 1;3;5;7
      0.135244147157; 2;6
      0.135039853942; 0;2;4;5;7
      0.134844839788; 2;4;5
      0.134816690874; 0;5;7
      0.134484822871; 2;4;7
      0.134248818054; 1;2;4;5;6;7
      0.134182035854; 0;2;4;7
      0.134179487179; 0;2
      0.133879532025; 2;4;5;7
      0.133742745768; 0;4;5;7
      0.133721293200; 0;7
      0.133300557877; 0;2;5;7
      0.133295201350; 0;1;4;7
      0.133253147490; 0;6;7
      0.133127740963; 2;3;5
      0.131879627311; 3;4;5;7
      0.130747592380; 2;3;4;7
      0.129848187054; 1;2;5;6;7
      0.127806020067; 4;6
      0.126256410256; 2;3
      0.125862903362; 0;1;2;4;5;6;7
      0.121820512821; 0;5
      0.121268337622; 0;2;7
