      0.404044566545; 0;1;2;3;4;5
      0.286879120879; 2;6
      0.286648656899; 2;3;6
      0.286448412698; 0;1;2;3
      0.285254717505; 1;3;7
      0.284169913420; 0;6;7
      0.283604395604; 5;6
      0.283071678322; 0;3;4;6;7
      0.282896242646; 4;5;7
      0.282718725719; 0;4;7
      0.282204212454; 0;2;3;4;6
      0.282028721279; 3;4;7
      0.281666361416; 0;2;7
      0.281384615385; 3;4
      0.280912087912; 1;5;6
      0.280184537685; 2;3;6;7
      0.279582417582; 3;6
      0.278442612943; 0;1;2;3;7
      0.276989010989; 1;5
      0.275103091353; 2;4;5
      0.274806166056; 1;5;7
      0.274681318681; 4;6
      0.274295648796; 0;2;6
      0.272929403929; 2;3;4
      0.270810495060; 0;1;7
      0.269736263736; 1;6
      0.269494505495; 2;4
      0.269193528694; 2;4;7
      0.267975579976; 0;1;2
      0.266879120879; 0;3
      0.266043956044; 0;5
      0.264395604396; 3;7
      0.262582417582; 1;2;7
      0.261859723610; 1;2;6
      0.260351648352; 4;7
      0.260108974359; 0;3;7
      0.254923076923; 1;2
      0.252043956044; 2;7
      0.249516483516; 1;7
      0.243252747253; 0;7
